cluster,feature,raw_median,raw_q1,raw_q3,raw_iqr,citywide_percentile_of_cluster_median,pct_deviation_from_50
4,fixed_guideway_stations_within_1000m,0.0,0.0,0.0,0.0,46.8,3.2
5,fixed_guideway_stations_within_1000m,0.0,0.0,0.0,0.0,46.8,3.2
6,fixed_guideway_stations_within_1000m,0.0,0.0,0.0,0.0,46.8,3.2
0,unique_rail_lines,0.0,0.0,0.0,0.0,49.5,0.5
1,unique_rail_lines,0.0,0.0,0.0,0.0,49.5,0.5
2,unique_rail_lines,0.0,0.0,0.0,0.0,49.5,0.5
3,unique_rail_lines,0.0,0.0,0.0,0.0,49.5,0.5
4,unique_rail_lines,0.0,0.0,0.0,0.0,49.5,0.5
5,unique_rail_lines,0.0,0.0,0.0,0.0,49.5,0.5
6,unique_rail_lines,0.0,0.0,0.0,0.0,49.5,0.5
0,bus_departures_per_day,0.0,0.0,41.0,41.0,45.9,4.1
1,bus_departures_per_day,0.0,0.0,0.0,0.0,45.9,4.1
2,bus_departures_per_day,0.0,0.0,155.0,155.0,45.9,4.1
3,bus_departures_per_day,0.0,0.0,138.5,138.5,45.9,4.1
4,bus_departures_per_day,0.0,0.0,0.0,0.0,45.9,4.1
5,bus_departures_per_day,0.0,0.0,0.0,0.0,45.9,4.1
6,bus_departures_per_day,0.0,0.0,0.0,0.0,45.9,4.1
0,bus_departures_peak_hour,0.0,0.0,0.0,0.0,49.7,0.3
1,bus_departures_peak_hour,0.0,0.0,0.0,0.0,49.7,0.3
2,bus_departures_peak_hour,0.0,0.0,0.0,0.0,49.7,0.3
3,bus_departures_peak_hour,0.0,0.0,0.0,0.0,49.7,0.3
4,bus_departures_peak_hour,0.0,0.0,0.0,0.0,49.7,0.3
5,bus_departures_peak_hour,0.0,0.0,0.0,0.0,49.7,0.3
6,bus_departures_peak_hour,0.0,0.0,0.0,0.0,49.7,0.3
0,cycle_infrastructure_density_km_per_km2_ibb_only,0.0,0.0,0.0,0.0,48.0,2.0
1,cycle_infrastructure_density_km_per_km2_ibb_only,0.0,0.0,0.0,0.0,48.0,2.0
2,cycle_infrastructure_density_km_per_km2_ibb_only,0.0,0.0,0.0,0.0,48.0,2.0
3,cycle_infrastructure_density_km_per_km2_ibb_only,0.0,0.0,0.0,0.0,48.0,2.0
4,cycle_infrastructure_density_km_per_km2_ibb_only,0.0,0.0,0.0,0.0,48.0,2.0
5,cycle_infrastructure_density_km_per_km2_ibb_only,0.0,0.0,0.0,0.0,48.0,2.0
6,cycle_infrastructure_density_km_per_km2_ibb_only,0.0,0.0,0.0,0.0,48.0,2.0
0,protected_cycleway_density_km_per_km2_ibb_only,0.0,0.0,0.0,0.0,48.4,1.6
1,protected_cycleway_density_km_per_km2_ibb_only,0.0,0.0,0.0,0.0,48.4,1.6
2,protected_cycleway_density_km_per_km2_ibb_only,0.0,0.0,0.0,0.0,48.4,1.6
3,protected_cycleway_density_km_per_km2_ibb_only,0.0,0.0,0.0,0.0,48.4,1.6
4,protected_cycleway_density_km_per_km2_ibb_only,0.0,0.0,0.0,0.0,48.4,1.6
5,protected_cycleway_density_km_per_km2_ibb_only,0.0,0.0,0.0,0.0,48.4,1.6
6,protected_cycleway_density_km_per_km2_ibb_only,0.0,0.0,0.0,0.0,48.4,1.6
0,distance_to_nearest_cycle_infrastructure_m_ibb_only,1218.3428563750795,424.1237172570234,2466.9532752719538,2042.8295580149304,14.1,35.9
1,distance_to_nearest_cycle_infrastructure_m_ibb_only,976.9456438065972,582.1130915976192,1598.7831211768244,1016.6700295792051,11.6,38.4
2,distance_to_nearest_cycle_infrastructure_m_ibb_only,980.5212347306373,492.3060210917715,1754.7184929705736,1262.412471878802,11.6,38.4
3,distance_to_nearest_cycle_infrastructure_m_ibb_only,962.6287609608357,416.40562835324147,1892.476128398183,1476.0705000449416,11.4,38.6
4,distance_to_nearest_cycle_infrastructure_m_ibb_only,20028.182530299455,14070.514450848188,27703.732045302033,13633.217594453845,82.7,32.7
5,distance_to_nearest_cycle_infrastructure_m_ibb_only,1797.8060119646639,679.4430429406584,3604.9973628134394,2925.554319872781,19.5,30.5
6,distance_to_nearest_cycle_infrastructure_m_ibb_only,5492.785562236322,2837.6639439482515,9576.097118205249,6738.4331742569975,42.7,7.3
0,distance_to_nearest_bicycle_parking_m,1995.384741130781,1026.6484202037122,3732.843372062986,2706.1949518592737,12.9,37.1
1,distance_to_nearest_bicycle_parking_m,1191.87195276505,785.1599200514839,1729.5319134545457,944.3719934030618,7.3,42.7
2,distance_to_nearest_bicycle_parking_m,1139.8055546824721,654.9027082141365,1832.814411024624,1177.9117028104874,6.9,43.1
3,distance_to_nearest_bicycle_parking_m,1425.5681179127214,769.0151632038762,2396.642869159172,1627.6277059552956,9.0,41.0
4,distance_to_nearest_bicycle_parking_m,37541.604271801014,30215.505839284844,45981.25511281457,15765.749273529727,82.6,32.6
5,distance_to_nearest_bicycle_parking_m,3379.512256165898,1689.503303376588,7853.573352430385,6164.0700490537965,20.1,29.9
6,distance_to_nearest_bicycle_parking_m,9992.217381066777,5354.079315190171,15391.998337151974,10037.919021961803,40.8,9.2
0,bicycle_parking_count,0.0,0.0,0.0,0.0,49.7,0.3
1,bicycle_parking_count,0.0,0.0,0.0,0.0,49.7,0.3
2,bicycle_parking_count,0.0,0.0,0.0,0.0,49.7,0.3
3,bicycle_parking_count,0.0,0.0,0.0,0.0,49.7,0.3
4,bicycle_parking_count,0.0,0.0,0.0,0.0,49.7,0.3
